iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
42,"(11, 13)","(11, 14)",South,"[(12, 13) via East]","[(11, 13):16, (7, 9):16, (2, 3):17]","[(7, 9):16, (2, 3):17, (12, 13):17]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9), (7, 15), (7, 11), (1, 8), (8, 15), (6, 11), (1, 7), (9, 15), (5, 11), (1, 6), (10, 15), (5, 10), (1, 5), (11, 15), (5, 9), (1, 4), (11, 14), (6, 9), (1, 3)]",16,0,16
43,"(7, 9)","(6, 9)",East,"[(8, 9) via East]","[(7, 9):16, (2, 3):17, (12, 13):17]","[(2, 3):17, (12, 13):17, (8, 9):17]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9), (7, 15), (7, 11), (1, 8), (8, 15), (6, 11), (1, 7), (9, 15), (5, 11), (1, 6), (10, 15), (5, 10), (1, 5), (11, 15), (5, 9), (1, 4), (11, 14), (6, 9), (1, 3), (11, 13)]",16,0,16
44,"(2, 3)","(1, 3)",East,"[(3, 3) via East]","[(2, 3):17, (12, 13):17, (8, 9):17]","[(12, 13):17, (8, 9):17, (3, 3):18]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9), (7, 15), (7, 11), (1, 8), (8, 15), (6, 11), (1, 7), (9, 15), (5, 11), (1, 6), (10, 15), (5, 10), (1, 5), (11, 15), (5, 9), (1, 4), (11, 14), (6, 9), (1, 3), (11, 13), (7, 9)]",17,0,17
45,"(12, 13)","(11, 13)",East,"[(13, 13) via East]","[(12, 13):17, (8, 9):17, (3, 3):18]","[(8, 9):17, (3, 3):18, (13, 13):18]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9), (7, 15), (7, 11), (1, 8), (8, 15), (6, 11), (1, 7), (9, 15), (5, 11), (1, 6), (10, 15), (5, 10), (1, 5), (11, 15), (5, 9), (1, 4), (11, 14), (6, 9), (1, 3), (11, 13), (7, 9), (2, 3)]",17,0,17
46,"(8, 9)","(7, 9)",East,"[(9, 9) via East]","[(8, 9):17, (3, 3):18, (13, 13):18]","[(3, 3):18, (13, 13):18, (9, 9):18]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9), (7, 15), (7, 11), (1, 8), (8, 15), (6, 11), (1, 7), (9, 15), (5, 11), (1, 6), (10, 15), (5, 10), (1, 5), (11, 15), (5, 9), (1, 4), (11, 14), (6, 9), (1, 3), (11, 13), (7, 9), (2, 3), (12, 13)]",17,0,17
47,"(3, 3)","(2, 3)",East,"[(4, 3) via East]","[(3, 3):18, (13, 13):18, (9, 9):18]","[(13, 13):18, (9, 9):18, (4, 3):19]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9), (7, 15), (7, 11), (1, 8), (8, 15), (6, 11), (1, 7), (9, 15), (5, 11), (1, 6), (10, 15), (5, 10), (1, 5), (11, 15), (5, 9), (1, 4), (11, 14), (6, 9), (1, 3), (11, 13), (7, 9), (2, 3), (12, 13), (8, 9)]",18,0,18
48,"(13, 13)","(12, 13)",East,"[(13, 14) via North]","[(13, 13):18, (9, 9):18, (4, 3):19]","[(9, 9):18, (4, 3):19, (13, 14):19]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9), (7, 15), (7, 11), (1, 8), (8, 15), (6, 11), (1, 7), (9, 15), (5, 11), (1, 6), (10, 15), (5, 10), (1, 5), (11, 15), (5, 9), (1, 4), (11, 14), (6, 9), (1, 3), (11, 13), (7, 9), (2, 3), (12, 13), (8, 9), (3, 3)]",18,0,18
49,"(9, 9)","(8, 9)",East,"[(9, 8) via South]","[(9, 9):18, (4, 3):19, (13, 14):19]","[(4, 3):19, (13, 14):19, (9, 8):19]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9), (7, 15), (7, 11), (1, 8), (8, 15), (6, 11), (1, 7), (9, 15), (5, 11), (1, 6), (10, 15), (5, 10), (1, 5), (11, 15), (5, 9), (1, 4), (11, 14), (6, 9), (1, 3), (11, 13), (7, 9), (2, 3), (12, 13), (8, 9), (3, 3), (13, 13)]",18,0,18
50,"(4, 3)","(3, 3)",East,"[(5, 3) via East]","[(4, 3):19, (13, 14):19, (9, 8):19]","[(13, 14):19, (9, 8):19, (5, 3):20]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9), (7, 15), (7, 11), (1, 8), (8, 15), (6, 11), (1, 7), (9, 15), (5, 11), (1, 6), (10, 15), (5, 10), (1, 5), (11, 15), (5, 9), (1, 4), (11, 14), (6, 9), (1, 3), (11, 13), (7, 9), (2, 3), (12, 13), (8, 9), (3, 3), (13, 13), (9, 9)]",19,0,19
51,"(13, 14)","(13, 13)",North,"[(13, 15) via North]","[(13, 14):19, (9, 8):19, (5, 3):20]","[(9, 8):19, (5, 3):20, (13, 15):20]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9), (7, 15), (7, 11), (1, 8), (8, 15), (6, 11), (1, 7), (9, 15), (5, 11), (1, 6), (10, 15), (5, 10), (1, 5), (11, 15), (5, 9), (1, 4), (11, 14), (6, 9), (1, 3), (11, 13), (7, 9), (2, 3), (12, 13), (8, 9), (3, 3), (13, 13), (9, 9), (4, 3)]",19,0,19
52,"(9, 8)","(9, 9)",South,"[(9, 7) via South]","[(9, 8):19, (5, 3):20, (13, 15):20]","[(5, 3):20, (13, 15):20, (9, 7):20]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9), (7, 15), (7, 11), (1, 8), (8, 15), (6, 11), (1, 7), (9, 15), (5, 11), (1, 6), (10, 15), (5, 10), (1, 5), (11, 15), (5, 9), (1, 4), (11, 14), (6, 9), (1, 3), (11, 13), (7, 9), (2, 3), (12, 13), (8, 9), (3, 3), (13, 13), (9, 9), (4, 3), (13, 14)]",19,0,19
53,"(5, 3)","(4, 3)",East,"[(5, 4) via North]","[(5, 3):20, (13, 15):20, (9, 7):20]","[(13, 15):20, (9, 7):20, (5, 4):21]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9), (7, 15), (7, 11), (1, 8), (8, 15), (6, 11), (1, 7), (9, 15), (5, 11), (1, 6), (10, 15), (5, 10), (1, 5), (11, 15), (5, 9), (1, 4), (11, 14), (6, 9), (1, 3), (11, 13), (7, 9), (2, 3), (12, 13), (8, 9), (3, 3), (13, 13), (9, 9), (4, 3), (13, 14), (9, 8)]",20,0,20
54,"(13, 15)","(13, 14)",North,"[(14, 15) via East]","[(13, 15):20, (9, 7):20, (5, 4):21]","[(9, 7):20, (5, 4):21, (14, 15):21]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9), (7, 15), (7, 11), (1, 8), (8, 15), (6, 11), (1, 7), (9, 15), (5, 11), (1, 6), (10, 15), (5, 10), (1, 5), (11, 15), (5, 9), (1, 4), (11, 14), (6, 9), (1, 3), (11, 13), (7, 9), (2, 3), (12, 13), (8, 9), (3, 3), (13, 13), (9, 9), (4, 3), (13, 14), (9, 8), (5, 3)]",20,0,20
55,"(9, 7)","(9, 8)",South,"[(9, 6) via South]","[(9, 7):20, (5, 4):21, (14, 15):21]","[(5, 4):21, (14, 15):21, (9, 6):21]","[(1, 15), (1, 14), (2, 15), (1, 13), (3, 15), (1, 12), (4, 15), (1, 11), (5, 15), (2, 11), (5, 14), (3, 11), (5, 13), (3, 12), (3, 10), (6, 13), (3, 13), (3, 9), (7, 13), (2, 9), (7, 14), (7, 12), (1, 9), (7, 15), (7, 11), (1, 8), (8, 15), (6, 11), (1, 7), (9, 15), (5, 11), (1, 6), (10, 15), (5, 10), (1, 5), (11, 15), (5, 9), (1, 4), (11, 14), (6, 9), (1, 3), (11, 13), (7, 9), (2, 3), (12, 13), (8, 9), (3, 3), (13, 13), (9, 9), (4, 3), (13, 14), (9, 8), (5, 3), (13, 15)]",20,0,20
