iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
43,"(13, 10)","(14, 10)",West,"[(12, 10) via West]","[(13, 10):20, (9, 4):20, (3, 2):20]","[(9, 4):20, (3, 2):20, (12, 10):21]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2), (17, 10), (7, 2), (16, 10), (7, 3), (6, 2), (15, 10), (7, 4), (5, 2), (14, 10), (8, 4), (4, 2)]",20,0,20
44,"(9, 4)","(8, 4)",East,"[(10, 4) via East]","[(9, 4):20, (3, 2):20, (12, 10):21]","[(3, 2):20, (12, 10):21, (10, 4):21]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2), (17, 10), (7, 2), (16, 10), (7, 3), (6, 2), (15, 10), (7, 4), (5, 2), (14, 10), (8, 4), (4, 2), (13, 10)]",20,0,20
45,"(3, 2)","(4, 2)",West,"[(2, 2) via West]","[(3, 2):20, (12, 10):21, (10, 4):21]","[(12, 10):21, (10, 4):21, (2, 2):21]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2), (17, 10), (7, 2), (16, 10), (7, 3), (6, 2), (15, 10), (7, 4), (5, 2), (14, 10), (8, 4), (4, 2), (13, 10), (9, 4)]",20,0,20
46,"(12, 10)","(13, 10)",West,"[(11, 10) via West]","[(12, 10):21, (10, 4):21, (2, 2):21]","[(10, 4):21, (2, 2):21, (11, 10):22]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2), (17, 10), (7, 2), (16, 10), (7, 3), (6, 2), (15, 10), (7, 4), (5, 2), (14, 10), (8, 4), (4, 2), (13, 10), (9, 4), (3, 2)]",21,0,21
47,"(10, 4)","(9, 4)",East,"[(11, 4) via East]","[(10, 4):21, (2, 2):21, (11, 10):22]","[(2, 2):21, (11, 10):22, (11, 4):22]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2), (17, 10), (7, 2), (16, 10), (7, 3), (6, 2), (15, 10), (7, 4), (5, 2), (14, 10), (8, 4), (4, 2), (13, 10), (9, 4), (3, 2), (12, 10)]",21,0,21
48,"(2, 2)","(3, 2)",West,"[(1, 2) via West]","[(2, 2):21, (11, 10):22, (11, 4):22]","[(11, 10):22, (11, 4):22, (1, 2):22]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2), (17, 10), (7, 2), (16, 10), (7, 3), (6, 2), (15, 10), (7, 4), (5, 2), (14, 10), (8, 4), (4, 2), (13, 10), (9, 4), (3, 2), (12, 10), (10, 4)]",21,0,21
49,"(11, 10)","(12, 10)",West,"[(10, 10) via West]","[(11, 10):22, (11, 4):22, (1, 2):22]","[(11, 4):22, (1, 2):22, (10, 10):23]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2), (17, 10), (7, 2), (16, 10), (7, 3), (6, 2), (15, 10), (7, 4), (5, 2), (14, 10), (8, 4), (4, 2), (13, 10), (9, 4), (3, 2), (12, 10), (10, 4), (2, 2)]",22,0,22
50,"(11, 4)","(10, 4)",East,"[(12, 4) via East]","[(11, 4):22, (1, 2):22, (10, 10):23]","[(1, 2):22, (10, 10):23, (12, 4):23]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2), (17, 10), (7, 2), (16, 10), (7, 3), (6, 2), (15, 10), (7, 4), (5, 2), (14, 10), (8, 4), (4, 2), (13, 10), (9, 4), (3, 2), (12, 10), (10, 4), (2, 2), (11, 10)]",22,0,22
51,"(1, 2)","(2, 2)",West,"[(1, 3) via North, (1, 1) via South]","[(1, 2):22, (10, 10):23, (12, 4):23]","[(10, 10):23, (12, 4):23, (1, 3):23, (1, 1):23]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2), (17, 10), (7, 2), (16, 10), (7, 3), (6, 2), (15, 10), (7, 4), (5, 2), (14, 10), (8, 4), (4, 2), (13, 10), (9, 4), (3, 2), (12, 10), (10, 4), (2, 2), (11, 10), (11, 4)]",22,0,22
52,"(10, 10)","(11, 10)",West,"[(9, 10) via West]","[(10, 10):23, (12, 4):23, (1, 3):23, (1, 1):23]","[(12, 4):23, (1, 3):23, (1, 1):23, (9, 10):24]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2), (17, 10), (7, 2), (16, 10), (7, 3), (6, 2), (15, 10), (7, 4), (5, 2), (14, 10), (8, 4), (4, 2), (13, 10), (9, 4), (3, 2), (12, 10), (10, 4), (2, 2), (11, 10), (11, 4), (1, 2)]",23,0,23
53,"(12, 4)","(11, 4)",East,"[(13, 4) via East]","[(12, 4):23, (1, 3):23, (1, 1):23, (9, 10):24]","[(1, 3):23, (1, 1):23, (9, 10):24, (13, 4):24]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2), (17, 10), (7, 2), (16, 10), (7, 3), (6, 2), (15, 10), (7, 4), (5, 2), (14, 10), (8, 4), (4, 2), (13, 10), (9, 4), (3, 2), (12, 10), (10, 4), (2, 2), (11, 10), (11, 4), (1, 2), (10, 10)]",23,0,23
54,"(1, 3)","(1, 2)",North,"[(1, 4) via North]","[(1, 3):23, (1, 1):23, (9, 10):24, (13, 4):24]","[(1, 1):23, (9, 10):24, (13, 4):24, (1, 4):24]","[(23, 2), (24, 2), (22, 2), (24, 3), (21, 2), (24, 4), (20, 2), (24, 5), (19, 2), (24, 6), (18, 2), (24, 7), (17, 2), (24, 8), (16, 2), (24, 9), (15, 2), (24, 10), (14, 2), (23, 10), (13, 2), (22, 10), (12, 2), (21, 10), (11, 2), (20, 10), (10, 2), (19, 10), (9, 2), (18, 10), (8, 2), (17, 10), (7, 2), (16, 10), (7, 3), (6, 2), (15, 10), (7, 4), (5, 2), (14, 10), (8, 4), (4, 2), (13, 10), (9, 4), (3, 2), (12, 10), (10, 4), (2, 2), (11, 10), (11, 4), (1, 2), (10, 10), (12, 4)]",23,0,23
