iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
38,"(34, 3)","(34, 4)",South,"[(34, 2) via South]","[(34, 3), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(34, 2), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7), (34, 6), (33, 6), (32, 6), (31, 6), (30, 6), (30, 5), (30, 4), (31, 4), (32, 4), (33, 4), (34, 4)]",37,0,37
39,"(34, 2)","(34, 3)",South,"[(34, 1) via South]","[(34, 2), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(34, 1), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7), (34, 6), (33, 6), (32, 6), (31, 6), (30, 6), (30, 5), (30, 4), (31, 4), (32, 4), (33, 4), (34, 4), (34, 3)]",38,0,38
40,"(34, 1)","(34, 2)",South,"[(33, 1) via West]","[(34, 1), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(33, 1), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7), (34, 6), (33, 6), (32, 6), (31, 6), (30, 6), (30, 5), (30, 4), (31, 4), (32, 4), (33, 4), (34, 4), (34, 3), (34, 2)]",39,0,39
41,"(33, 1)","(34, 1)",West,"[(32, 1) via West]","[(33, 1), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(32, 1), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7), (34, 6), (33, 6), (32, 6), (31, 6), (30, 6), (30, 5), (30, 4), (31, 4), (32, 4), (33, 4), (34, 4), (34, 3), (34, 2), (34, 1)]",40,0,40
42,"(32, 1)","(33, 1)",West,"[(31, 1) via West]","[(32, 1), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(31, 1), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7), (34, 6), (33, 6), (32, 6), (31, 6), (30, 6), (30, 5), (30, 4), (31, 4), (32, 4), (33, 4), (34, 4), (34, 3), (34, 2), (34, 1), (33, 1)]",41,0,41
43,"(31, 1)","(32, 1)",West,"[(30, 1) via West]","[(31, 1), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(30, 1), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7), (34, 6), (33, 6), (32, 6), (31, 6), (30, 6), (30, 5), (30, 4), (31, 4), (32, 4), (33, 4), (34, 4), (34, 3), (34, 2), (34, 1), (33, 1), (32, 1)]",42,0,42
44,"(30, 1)","(31, 1)",West,"[(29, 1) via West]","[(30, 1), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(29, 1), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7), (34, 6), (33, 6), (32, 6), (31, 6), (30, 6), (30, 5), (30, 4), (31, 4), (32, 4), (33, 4), (34, 4), (34, 3), (34, 2), (34, 1), (33, 1), (32, 1), (31, 1)]",43,0,43
45,"(29, 1)","(30, 1)",West,"[(28, 1) via West]","[(29, 1), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(28, 1), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7), (34, 6), (33, 6), (32, 6), (31, 6), (30, 6), (30, 5), (30, 4), (31, 4), (32, 4), (33, 4), (34, 4), (34, 3), (34, 2), (34, 1), (33, 1), (32, 1), (31, 1), (30, 1)]",44,0,44
46,"(28, 1)","(29, 1)",West,"[(27, 1) via West]","[(28, 1), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(27, 1), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7), (34, 6), (33, 6), (32, 6), (31, 6), (30, 6), (30, 5), (30, 4), (31, 4), (32, 4), (33, 4), (34, 4), (34, 3), (34, 2), (34, 1), (33, 1), (32, 1), (31, 1), (30, 1), (29, 1)]",45,0,45
47,"(27, 1)","(28, 1)",West,"[(27, 2) via North]","[(27, 1), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(27, 2), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7), (34, 6), (33, 6), (32, 6), (31, 6), (30, 6), (30, 5), (30, 4), (31, 4), (32, 4), (33, 4), (34, 4), (34, 3), (34, 2), (34, 1), (33, 1), (32, 1), (31, 1), (30, 1), (29, 1), (28, 1)]",46,0,46
48,"(27, 2)","(27, 1)",North,"[(26, 2) via West, (27, 3) via North]","[(27, 2), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(27, 3), (26, 2), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7), (34, 6), (33, 6), (32, 6), (31, 6), (30, 6), (30, 5), (30, 4), (31, 4), (32, 4), (33, 4), (34, 4), (34, 3), (34, 2), (34, 1), (33, 1), (32, 1), (31, 1), (30, 1), (29, 1), (28, 1), (27, 1)]",47,0,47
49,"(27, 3)","(27, 2)",North,"[(27, 4) via North]","[(27, 3), (26, 2), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(27, 4), (26, 2), (31, 3), (30, 3), (29, 6), (29, 10), (33, 16)]","[(34, 16), (34, 15), (34, 14), (33, 14), (32, 14), (31, 14), (30, 14), (30, 13), (30, 12), (31, 12), (32, 12), (33, 12), (34, 12), (34, 11), (34, 10), (33, 10), (32, 10), (31, 10), (30, 10), (30, 9), (30, 8), (31, 8), (32, 8), (33, 8), (34, 8), (34, 7), (34, 6), (33, 6), (32, 6), (31, 6), (30, 6), (30, 5), (30, 4), (31, 4), (32, 4), (33, 4), (34, 4), (34, 3), (34, 2), (34, 1), (33, 1), (32, 1), (31, 1), (30, 1), (29, 1), (28, 1), (27, 1), (27, 2)]",48,0,48
